t,load_kW,solar_cf
1,59.61,0
2,59.94,0
3,59.29,0
4,59.16,0
5,59.61,0
6,60.24,0
7,64.84,0
8,73.04,0.006
9,87.82,0.177
10,107.21,0.485
11,124.12,0.64
12,133.67,0.667
13,135.71,0.777
14,130.34,0.776
15,114.5,0.71
16,95.66,0.515
17,82.58,0.108
18,74.45,0
19,67.23,0
20,64.08,0
21,62.37,0
22,61.18,0
23,60.68,0
24,60.09,0
25,59.62,0
26,59.61,0
27,59.27,0
28,58.93,0
29,59.26,0
30,60.23,0
31,64.67,0
32,72.97,0.182
33,87.7,0.762
34,107.2,0.847
35,124.12,0.867
36,133.69,0.853
37,135.76,0.838
38,130.43,0.832
39,114.6,0.784
40,95.66,0.658
41,82.51,0.191
42,74.25,0
43,67.14,0
44,63.84,0
45,62.22,0
46,61.1,0
47,60.59,0
48,59.9,0
49,59.46,0
50,59.49,0
51,59.15,0
52,58.8,0
53,59.15,0
54,60.01,0
55,64.41,0
56,72.67,0.157
57,87.5,0.704
58,107.08,0.807
59,124.09,0.83
60,133.75,0.82
61,135.82,0.804
62,130.44,0.792
63,114.52,0.738
64,95.52,0.604
65,82.35,0.171
66,74.04,0
67,66.76,0
68,63.57,0
69,61.9,0
70,60.69,0
71,60.25,0
72,59.66,0
73,59.12,0
74,59.14,0
75,58.88,0
76,58.53,0
77,58.87,0
78,59.87,0
79,64.37,0
80,72.78,0.132
81,87.62,0.642
82,107.23,0.766
83,124.19,0.805
84,133.8,0.798
85,135.85,0.779
86,130.46,0.754
87,114.63,0.677
88,95.75,0.554
89,82.53,0.169
90,74.47,0
91,67.2,0
92,64.01,0
93,62.42,0
94,61.1,0
95,60.69,0
96,60.03,0
97,59.5,0
98,59.52,0
99,59.28,0
100,58.82,0
101,59.16,0
102,60.18,0
103,64.58,0
104,72.97,0.173
105,87.75,0.712
106,107.28,0.799
107,124.23,0.82
108,133.81,0.726
109,135.82,0.606
110,130.49,0.429
111,114.65,0.207
112,95.77,0.061
113,82.66,0.003
114,74.6,0
115,67.3,0
116,64.13,0
117,62.48,0
118,61.26,0
119,60.81,0
120,60.16,0
121,67.82,0
122,72.23,0
123,73.37,0
124,74.3,0
125,74.63,0
126,75.24,0
127,76.98,0
128,78.32,0.034
129,81.63,0.168
130,88.75,0.183
131,96.67,0.275
132,101.57,0.337
133,102.47,0.315
134,98.59,0.241
135,91.1,0.243
136,82.92,0.206
137,78.13,0.041
138,75.96,0
139,73.76,0
140,72.8,0
141,72.46,0
142,72.54,0
143,72.71,0
144,73.13,0
145,63.95,0
146,59.81,0
147,57.82,0
148,57.16,0
149,57.21,0
150,57.18,0
151,58.18,0
152,58.97,0.121
153,60.86,0.511
154,65.24,0.711
155,71.06,0.752
156,76.41,0.735
157,79.9,0.685
158,80.7,0.636
159,77.21,0.55
160,69.88,0.351
161,65.1,0.085
162,62.44,0
163,60.22,0
164,59.2,0
165,58.34,0
166,58.05,0
167,57.79,0
168,57.29,0
169,58.36,0
170,58.66,0
171,58.47,0
172,58.29,0
173,58.62,0
174,59.45,0
175,63.99,0
176,72.29,0.154
177,87.45,0.651
178,107.12,0.766
179,124.13,0.823
180,133.82,0.82
181,135.94,0.798
182,130.56,0.783
183,114.7,0.737
184,95.67,0.601
185,82.2,0.203
186,73.69,0
187,66.45,0
188,63.02,0
189,61.34,0
190,60.16,0
191,59.66,0
192,58.95,0
193,58.57,0
194,58.41,0
195,58.07,0
196,57.72,0
197,58.05,0
198,58.99,0
199,63.67,0
200,72.03,0.052
201,87.19,0.328
202,106.92,0.511
203,124.05,0.612
204,133.97,0.649
205,136.16,0.607
206,130.86,0.497
207,114.91,0.314
208,95.63,0.138
209,81.94,0.02
210,73.45,0
211,66.25,0
212,62.72,0
213,61.04,0
214,59.96,0
215,59.31,0
216,58.8,0
217,58.35,0
218,58.3,0
219,58.15,0
220,57.74,0
221,58.06,0
222,59.06,0
223,63.79,0
224,72.04,0.094
225,87.12,0.565
226,107.11,0.723
227,124.41,0.765
228,134.15,0.765
229,136.33,0.731
230,131.01,0.644
231,115.03,0.453
232,95.69,0.207
233,82.08,0.024
234,73.58,0
235,66.48,0
236,63.13,0
237,61.37,0
238,60.42,0
239,59.67,0
240,59.1,0
241,58.74,0
242,58.63,0
243,58.42,0
244,58.09,0
245,58.43,0
246,59.81,0
247,64.32,0
248,72.82,0
249,87.81,0.02
250,107.98,0.053
251,125.14,0.091
252,134.96,0.129
253,137.17,0.145
254,131.73,0.108
255,115.82,0.071
256,96.42,0.033
257,82.64,0.002
258,74.34,0
259,66.87,0
260,63.67,0
261,61.74,0
262,60.66,0
263,60.12,0
264,59.58,0
265,59.12,0
266,59.06,0
267,58.71,0
268,58.37,0
269,58.69,0
270,60.2,0
271,64.17,0
272,72.73,0.04
273,87.86,0.312
274,107.77,0.527
275,124.66,0.626
276,134.36,0.613
277,136.44,0.555
278,130.96,0.482
279,115,0.401
280,95.78,0.261
281,82.22,0.088
282,73.83,0
283,66.62,0
284,63.42,0
285,61.53,0
286,60.42,0
287,60.02,0
288,59.35,0
289,67.59,0
290,72.07,0
291,73.3,0
292,73.99,0
293,74.35,0
294,75.41,0
295,76.68,0
296,78.06,0.225
297,81.42,0.762
298,88.59,0.855
299,96.56,0.877
300,101.42,0.866
301,102.41,0.842
302,98.55,0.829
303,91.06,0.772
304,82.79,0.635
305,77.99,0.273
306,75.78,0
307,73.52,0
308,72.56,0
309,72.24,0
310,72.32,0
311,72.5,0
312,72.87,0
313,63.37,0
314,59.14,0
315,57.18,0
316,56.54,0
317,56.59,0
318,56.6,0
319,57.67,0
320,58.46,0.322
321,60.53,0.862
322,64.89,0.9
323,70.71,0.9
324,76.11,0.873
325,79.58,0.812
326,80.41,0.774
327,76.96,0.691
328,69.7,0.552
329,64.9,0.227
330,62.18,0
331,60.01,0
332,59.03,0
333,58.18,0
334,57.89,0
335,57.74,0
336,57.3,0
337,58.36,0
338,58.75,0
339,58.66,0
340,58.5,0
341,58.78,0
342,59.74,0
343,64.19,0
344,72.63,0.247
345,87.43,0.675
346,107.19,0.773
347,124.08,0.803
348,133.74,0.801
349,135.79,0.778
350,130.4,0.75
351,114.55,0.623
352,95.54,0.415
353,82.21,0.088
354,73.94,0
355,66.79,0
356,63.51,0
357,61.69,0
358,60.59,0
359,60.1,0
360,59.48,0
361,59.02,0
362,59.05,0
363,58.74,0
364,58.33,0
365,58.63,0
366,59.55,0
367,64.12,0
368,72.51,0.007
369,87.37,0.066
370,107.16,0.151
371,124.17,0.225
372,133.77,0.286
373,135.79,0.333
374,130.39,0.296
375,114.54,0.272
376,95.51,0.145
377,82.05,0.025
378,73.76,0
379,66.7,0
380,63.5,0
381,61.66,0
382,60.46,0
383,59.98,0
384,59.41,0
385,58.94,0
386,58.94,0
387,58.69,0
388,58.26,0
389,58.73,0
390,59.86,0
391,64.2,0
392,72.54,0.254
393,87.37,0.663
394,107.09,0.732
395,124.1,0.718
396,133.72,0.7
397,135.91,0.718
398,130.47,0.736
399,114.58,0.66
400,95.53,0.457
401,81.99,0.092
402,73.6,0
403,66.58,0
404,63.28,0
405,61.6,0
406,60.48,0
407,59.86,0
408,59.3,0
409,59,0
410,58.85,0
411,58.6,0
412,58.24,0
413,58.46,0
414,59.42,0
415,63.95,0
416,72.33,0.007
417,87.23,0.043
418,107.16,0.076
419,124.17,0.1
420,133.91,0.141
421,135.9,0.179
422,130.63,0.151
423,114.75,0.143
424,95.58,0.099
425,81.9,0.02
426,73.54,0
427,66.39,0
428,63.06,0
429,61.27,0
430,60.17,0
431,59.56,0
432,59.05,0
433,58.55,0
434,58.47,0
435,58.19,0
436,57.9,0
437,58.22,0
438,59.11,0
439,63.79,0
440,72.18,0.32
441,87.17,0.719
442,107.2,0.803
443,124.24,0.83
444,134.06,0.816
445,136.12,0.701
446,130.74,0.396
447,114.74,0.253
448,95.52,0.198
449,81.72,0.059
450,73.33,0
451,66.28,0
452,62.76,0
453,61.18,0
454,60.03,0
455,59.42,0
456,58.82,0
457,67.13,0
458,71.5,0
459,72.77,0
460,73.76,0
461,74.16,0
462,75.06,0
463,76.4,0
464,77.58,0.113
465,81.02,0.39
466,88.57,0.54
467,96.83,0.575
468,101.91,0.578
469,102.99,0.561
470,99.12,0.484
471,91.53,0.36
472,83.15,0.213
473,77.96,0.046
474,75.74,0
475,73.24,0
476,72.37,0
477,72.09,0
478,72.04,0
479,72.24,0
480,72.68,0
481,62.79,0
482,58.3,0
483,56.43,0
484,55.66,0
485,55.78,0
486,55.61,0
487,56.79,0
488,57.92,0.343
489,59.82,0.635
490,64.35,0.635
491,70.33,0.746
492,75.92,0.806
493,79.48,0.782
494,80.46,0.683
495,76.75,0.423
496,69.38,0.115
497,64.18,0.03
498,61.59,0
499,59.39,0
500,58.33,0
501,57.72,0
502,57.35,0
503,57.1,0
504,56.62,0
505,57.59,0
506,57.98,0
507,57.93,0
508,57.79,0
509,57.88,0
510,59.37,0
511,63.66,0
512,72.09,0.016
513,87.45,0.094
514,107.51,0.2
515,124.59,0.308
516,134.46,0.469
517,136.65,0.558
518,131.29,0.556
519,115.4,0.501
520,95.99,0.353
521,82.1,0.087
522,73.72,0
523,66.4,0
524,63.02,0
525,61.23,0
526,59.97,0
527,59.61,0
528,59.07,0
529,58.33,0
530,58.49,0
531,58.21,0
532,57.53,0
533,58.03,0
534,59.53,0
535,63.65,0
536,71.9,0.26
537,87.18,0.531
538,107.2,0.624
539,124.35,0.616
540,134.16,0.637
541,136.28,0.634
542,130.82,0.583
543,114.83,0.514
544,95.44,0.383
545,81.4,0.128
546,73.24,0
547,66.11,0
548,62.72,0
549,61.05,0
550,59.81,0
551,59.32,0
552,58.63,0
553,58.31,0
554,58.25,0
555,57.92,0
556,57.59,0
557,57.96,0
558,59.02,0
559,63.42,0
560,71.81,0.009
561,86.98,0.056
562,107.06,0.154
563,124.12,0.287
564,133.9,0.434
565,136.08,0.48
566,130.59,0.462
567,114.61,0.498
568,95.31,0.395
569,81.5,0.095
570,73.09,0
571,65.96,0
572,62.56,0
573,60.96,0
574,59.9,0
575,59.31,0
576,58.67,0
577,58.29,0
578,58.25,0
579,57.95,0
580,57.7,0
581,57.91,0
582,58.93,0
583,63.56,0
584,71.76,0.346
585,87.1,0.678
586,106.99,0.78
587,124.09,0.84
588,133.89,0.87
589,135.96,0.852
590,130.63,0.826
591,114.65,0.746
592,95.41,0.56
593,81.43,0.098
594,73.09,0
595,66.01,0
596,62.65,0
597,60.99,0
598,59.94,0
599,59.28,0
600,58.71,0
601,58.35,0
602,58.23,0
603,58,0
604,57.61,0
605,57.94,0
606,58.93,0
